Qnt;Empresa;Vaga ;Tipo ;Cargo ;Status;obs
1;Enjoei;Planejamento e Performancer comercial ;hibrido ;Senior;Enviado;
2;Meta;Analista de Negócios III;home;Senior;Enviado;
3;Rebag;Business Development Representative;home;Não sei;Enviado;Baixa Chance
4;Two;Representante de vendas internas;home;Senior;Enviado ;
5;PicPay;Analista de Negócios Sênior;Presencial;Senior;Enviado ;Baixa Chance
6;Desapegar;Analista Comercial SR;hibrido ;Senior;Enviado ;
7;Accountfy ;Pessoa Executiva de Vendas;home;Pleno-Sênior;Enviado;
8;Atos;Consultor de Pré-vendas de Inteligência Artificial;home;Consultor;Enviado;
9;Cortex;BDR;home;Não sei;Enviado;
10;Bizneo HR;Senior SDR - Sales Development Representative;home;Senior;Enviado;
11;DBC Company;Análise de Negócios/Dados Sênior;home ;Senior;Enviado ;Muito interesse
12;Atlas Governance;Business Development Representative;home;Junior;Enviado ;Nem a pau
13;Shopee;Analista Comercial - Vendas;hibrido;Pleno;Enviado ;
14;Lenovo;Analista Sr de Desenvolvimento de Novos Negócios;;Senior;Enviado;
15;PagBank;Executivo de Vendas Digitais Jr.;Presencial ;Pleno-Sênior;Enviado;
16;Nomus;BDR Parceirias;Remoto;Não sei;Enviado ;Muito interesse
17;Humtech;Executivo de Vendas;Remoto;Pleno-Sênior;Enviado ;
18;Falconi;Account Executive;Remoto;Pleno-Sênior;Enviado ;Muito interesse
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
